step,temperature,current_energy,best_energy,current_state,best_state
620,82.78278037064767,0.2645,0.257,"[1.         0.43959111 0.39092689 0.3813147  0.3026279  0.04823536
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
630,75.49879301005035,0.2985,0.257,"[1.         0.55137566 0.24248592 0.2187412  0.18467746 0.0831354
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
640,68.85571758345408,0.448,0.257,"[1.         0.17962805 0.17906852 0.17764239 0.06720948 0.06309791
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
650,62.79716078773944,0.444,0.257,"[1.         0.69836654 0.1390552  0.13894078 0.1379487  0.12524716
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
660,57.2716913191943,0.393,0.257,"[1.         0.59824522 0.17961756 0.15112309 0.09641467 0.05318387
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
670,52.23240327135093,0.42,0.257,"[1.         0.69921884 0.362334   0.03312891 0.03239707 0.01361616
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
680,47.63651794908115,0.466,0.257,"[1.         0.73717993 0.73655173 0.03312891 0.03312891 0.01738049
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
690,43.445020718734334,0.5415,0.257,"[1.         1.         0.94960929 0.03312891 0.03312891 0.02172569
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
700,39.622329811527806,0.47,0.257,"[1.66942494 0.78294217 0.54704672 0.0085821  0.0085821  0.0058354
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
710,36.13599426864814,0.4945,0.257,"[1.         1.         1.         0.26968799 0.00145487 0.00128723
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
720,32.95641846391015,0.3445,0.257,"[1.00000000e+00 8.25801989e-01 6.68352091e-01 1.62946809e-01
 1.57992898e-01 7.77748729e-04 0.00000000e+00]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
730,30.05661086543531,0.378,0.257,"[1.         0.75241661 0.67272493 0.40521962 0.12103986 0.11428269
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
740,27.411954903579595,0.3975,0.257,"[1.         0.5653366  0.20197968 0.20197968 0.03363454 0.03333342
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
750,24.999999999999986,0.5895,0.257,"[1.         0.15370957 0.07071363 0.05142431 0.02719506 0.00486789
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
760,22.80027098389772,0.619,0.257,"[1.         0.07335963 0.06460009 0.04401661 0.03132453 0.01490262
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
770,20.79409427756676,0.671,0.257,"[1.         0.10374541 0.09660207 0.01985408 0.01985408 0.01010568
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
780,18.96443937572957,0.5335,0.257,"[1.         0.19918342 0.18915654 0.02416941 0.01302059 0.01115887
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
790,17.295774272973397,0.41,0.257,"[1.         1.         0.5654858  0.5654858  0.18541065 0.01023442
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
800,15.773933612004821,0.53,0.257,"[1.76541549 1.         0.98084833 0.5654858  0.5654858  0.41038842
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
810,14.385998433428908,0.443,0.257,"[1.         0.97685599 0.80197697 0.50962953 0.4612331  0.28411397
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
820,13.120186506244307,0.321,0.257,"[1.         0.76357516 0.53889432 0.43876845 0.3347164  0.28930978
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
830,11.965752308065944,0.406,0.257,"[1.         0.59917368 0.55892037 0.39661319 0.36811879 0.35083432
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
840,10.91289580600414,0.3805,0.257,"[1.         0.56801106 0.51305442 0.37880324 0.26916823 0.26810175
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
850,9.95267926383742,0.3745,0.257,"[1.         0.23521614 0.21245833 0.21181737 0.17711523 0.14031221
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
860,9.076951369252525,0.4805,0.257,"[1.         0.15128123 0.13664436 0.13663587 0.13085347 0.10325964
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
870,8.278278037064773,0.339,0.257,"[1.         0.55118398 0.50540816 0.41476992 0.32843376 0.13152478
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
880,7.549879301005039,0.326,0.257,"[1.         0.30890749 0.27050249 0.19556916 0.18746971 0.11645797
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
890,6.885571758345406,0.3795,0.257,"[1.         0.25317034 0.23961805 0.23961805 0.16386554 0.15113921
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
900,6.279716078773954,0.991,0.257,"[1.         0.62946053 0.15487956 0.15386048 0.15386048 0.15386048
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
910,5.727169131919428,0.977,0.257,"[1.         0.67930059 0.46005325 0.29559344 0.0534537  0.0534537
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
920,5.2232403271350965,0.4095,0.257,"[1.         1.         0.94752662 0.36441576 0.26454296 0.0534537
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
930,4.763651794908118,0.8055,0.257,"[1.90328195 0.726656   0.71981048 0.71981048 0.22708306 0.22708306
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
940,4.34450207187344,0.4395,0.257,"[1.         1.         0.97386564 0.20143355 0.13088012 0.06354749
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
950,3.96223298115278,0.2575,0.257,"[1.83949181 0.47752059 0.42714044 0.33592472 0.20659259 0.02274445
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
960,3.61359942686481,0.474,0.257,"[1.         0.80881112 0.10491489 0.10429253 0.07247707 0.07199743
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
970,3.295641846391017,0.465,0.257,"[1.         0.88661375 0.22275543 0.05436138 0.05436138 0.03898122
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
980,3.0056610865435274,0.5355,0.257,"[1.         0.86836173 0.10564405 0.10564405 0.02578144 0.0246937
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
990,2.741195490357959,0.3945,0.257,"[1.         0.86836173 0.84825345 0.26682593 0.22097479 0.02577835
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
1000,2.499999999999998,0.525,0.257,"[1.         0.13382094 0.12121565 0.12065687 0.03074137 0.00358621
 0.        ]","[1.         0.4967373  0.4417468  0.31801688 0.25774402 0.05450588
 0.        ]"
