Profile,Winner,Num_Violations,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized,Borda ranking Winner,Plurality ranking Winner,STV Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner
"[(2, 0, 1, 3, 4), (4, 1, 2, 0, 3), (2, 0, 1, 4, 3), (4, 1, 2, 0, 3), (2, 1, 4, 0, 3), (3, 0, 2, 1, 4), (4, 1, 2, 0, 3), (4, 1, 2, 0, 3), (3, 0, 2, 1, 4), (4, 1, 2, 0, 3)]","(0, 1, 1, 0, 1)",0,"[0, 4, 2, 8, 4, 6, 0, 5, 8, 5, 8, 5, 0, 8, 5, 2, 2, 2, 0, 3, 6, 5, 5, 7, 0]","[0.0, 0.04, 0.02, 0.08, 0.04, 0.06, 0.0, 0.05, 0.08, 0.05, 0.08, 0.05, 0.0, 0.08, 0.05, 0.02, 0.02, 0.02, 0.0, 0.03, 0.06, 0.05, 0.05, 0.07, 0.0]","[4, 2, 8, 4, 6, 5, 8, 5, 8, 5, 8, 5, 2, 2, 2, 3, 6, 5, 5, 7]","[0.04, 0.02, 0.08, 0.04, 0.06, 0.05, 0.08, 0.05, 0.08, 0.05, 0.08, 0.05, 0.02, 0.02, 0.02, 0.03, 0.06, 0.05, 0.05, 0.07]","[0.07692 0.03846 0.15385 0.07692 0.09615 0.15385 0.09615 0.15385 0.09615
 0.05769]","[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 4, 0, 6, 0, 0, 6, 2, 2, 0, 3, 0, 7, 0, 0, 2, 0, 0, 1, 7, 5, 0, 1, 1, 3]","[0.0, 0.08, 0.0, 0.12, 0.0, 0.0, 0.12, 0.04, 0.04, 0.0, 0.06, 0.0, 0.14, 0.0, 0.0, 0.04, 0.0, 0.0, 0.02, 0.14, 0.1, 0.0, 0.02, 0.02, 0.06]","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)"
"[(2, 0, 3, 4, 1), (1, 4, 3, 0, 2), (1, 4, 3, 0, 2), (2, 0, 3, 4, 1), (2, 0, 3, 4, 1), (2, 0, 3, 4, 1), (3, 0, 2, 4, 1), (3, 0, 2, 4, 1), (3, 0, 2, 4, 1), (2, 0, 3, 4, 1)]","(1, 0, 1, 1, 0)",0,"[0, 8, 5, 5, 8, 2, 0, 2, 2, 2, 5, 8, 0, 5, 8, 5, 8, 5, 0, 8, 2, 8, 2, 2, 0]","[0.0, 0.08, 0.05, 0.05, 0.08, 0.02, 0.0, 0.02, 0.02, 0.02, 0.05, 0.08, 0.0, 0.05, 0.08, 0.05, 0.08, 0.05, 0.0, 0.08, 0.02, 0.08, 0.02, 0.02, 0.0]","[8, 5, 5, 8, 2, 2, 2, 2, 5, 8, 5, 8, 5, 8, 5, 8, 2, 8, 2, 2]","[0.08, 0.05, 0.05, 0.08, 0.02, 0.02, 0.02, 0.02, 0.05, 0.08, 0.05, 0.08, 0.05, 0.08, 0.05, 0.08, 0.02, 0.08, 0.02, 0.02]","[0.15094 0.09434 0.09434 0.15094 0.03774 0.03774 0.03774 0.09434 0.15094
 0.15094]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]","[0, 8, 0, 2, 0, 2, 0, 0, 0, 8, 5, 0, 3, 0, 2, 3, 0, 7, 0, 0, 0, 2, 0, 8, 0]","[0.0, 0.16, 0.0, 0.04, 0.0, 0.04, 0.0, 0.0, 0.0, 0.16, 0.1, 0.0, 0.06, 0.0, 0.04, 0.06, 0.0, 0.14, 0.0, 0.0, 0.0, 0.04, 0.0, 0.16, 0.0]","(1, 0, 1, 1, 0)","(0, 1, 1, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)"
"[(3, 0, 4, 1, 2), (2, 0, 3, 4, 1), (1, 4, 3, 0, 2), (3, 4, 0, 1, 2), (3, 4, 0, 2, 1), (3, 4, 0, 1, 2), (1, 4, 3, 0, 2), (3, 4, 1, 0, 2), (0, 2, 3, 4, 1), (4, 1, 3, 0, 2)]","(1, 0, 0, 1, 1)",0,"[0, 6, 9, 2, 3, 4, 0, 7, 3, 2, 1, 3, 0, 2, 2, 8, 7, 8, 0, 7, 7, 8, 8, 3, 0]","[0.0, 0.06, 0.09, 0.02, 0.03, 0.04, 0.0, 0.07, 0.03, 0.02, 0.01, 0.03, 0.0, 0.02, 0.02, 0.08, 0.07, 0.08, 0.0, 0.07, 0.07, 0.08, 0.08, 0.03, 0.0]","[6, 9, 2, 3, 4, 7, 3, 2, 1, 3, 2, 2, 8, 7, 8, 7, 7, 8, 8, 3]","[0.06, 0.09, 0.02, 0.03, 0.04, 0.07, 0.03, 0.02, 0.01, 0.03, 0.02, 0.02, 0.08, 0.07, 0.08, 0.07, 0.07, 0.08, 0.08, 0.03]","[0.13953 0.2093  0.04651 0.06977 0.16279 0.06977 0.04651 0.04651 0.04651
 0.16279]","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]","[1, 2, 3, 4, 0, 2, 1, 1, 3, 3, 1, 1, 0, 1, 7, 5, 0, 5, 0, 0, 1, 6, 1, 2, 0]","[0.02, 0.04, 0.06, 0.08, 0.0, 0.04, 0.02, 0.02, 0.06, 0.06, 0.02, 0.02, 0.0, 0.02, 0.14, 0.1, 0.0, 0.1, 0.0, 0.0, 0.02, 0.12, 0.02, 0.04, 0.0]","(1, 0, 0, 1, 1)","(1, 1, 0, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 0, 1, 0)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)"
"[(4, 1, 0, 2, 3), (3, 2, 0, 1, 4), (4, 1, 0, 2, 3), (1, 4, 0, 2, 3), (4, 1, 0, 2, 3), (1, 0, 2, 4, 3), (2, 3, 0, 1, 4), (0, 2, 3, 1, 4), (0, 2, 1, 3, 4), (0, 1, 4, 2, 3)]","(1, 1, 0, 0, 1)",0,"[0, 5, 8, 8, 6, 5, 0, 6, 7, 7, 2, 4, 0, 9, 5, 2, 3, 1, 0, 4, 4, 3, 5, 6, 0]","[0.0, 0.05, 0.08, 0.08, 0.06, 0.05, 0.0, 0.06, 0.07, 0.07, 0.02, 0.04, 0.0, 0.09, 0.05, 0.02, 0.03, 0.01, 0.0, 0.04, 0.04, 0.03, 0.05, 0.06, 0.0]","[5, 8, 8, 6, 5, 6, 7, 7, 2, 4, 9, 5, 2, 3, 1, 4, 4, 3, 5, 6]","[0.05, 0.08, 0.08, 0.06, 0.05, 0.06, 0.07, 0.07, 0.02, 0.04, 0.09, 0.05, 0.02, 0.03, 0.01, 0.04, 0.04, 0.03, 0.05, 0.06]","[0.07692 0.12308 0.12308 0.09231 0.09231 0.10769 0.10769 0.13846 0.07692
 0.06154]","[0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[3, 1, 6, 0, 0, 2, 4, 1, 3, 0, 1, 3, 1, 5, 0, 1, 1, 1, 1, 6, 3, 1, 1, 1, 4]","[0.06, 0.02, 0.12, 0.0, 0.0, 0.04, 0.08, 0.02, 0.06, 0.0, 0.02, 0.06, 0.02, 0.1, 0.0, 0.02, 0.02, 0.02, 0.02, 0.12, 0.06, 0.02, 0.02, 0.02, 0.08]","(1, 1, 1, 0, 0)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 1, 0, 1, 1)","(1, 1, 1, 0, 0)","(1, 0, 1, 0, 1)"
"[(1, 4, 3, 0, 2), (1, 4, 3, 0, 2), (3, 0, 2, 4, 1), (3, 4, 1, 0, 2), (3, 0, 2, 4, 1), (3, 4, 0, 1, 2), (0, 3, 2, 4, 1), (3, 0, 2, 4, 1), (3, 4, 0, 2, 1), (3, 4, 0, 2, 1)]","(1, 0, 0, 1, 1)",0,"[0, 7, 10, 1, 4, 3, 0, 4, 2, 2, 0, 6, 0, 0, 4, 9, 8, 10, 0, 8, 6, 8, 6, 2, 0]","[0.0, 0.07, 0.1, 0.01, 0.04, 0.03, 0.0, 0.04, 0.02, 0.02, 0.0, 0.06, 0.0, 0.0, 0.04, 0.09, 0.08, 0.1, 0.0, 0.08, 0.06, 0.08, 0.06, 0.02, 0.0]","[7, 10, 1, 4, 3, 4, 2, 2, 0, 6, 0, 4, 9, 8, 10, 8, 6, 8, 6, 2]","[0.07, 0.1, 0.01, 0.04, 0.03, 0.04, 0.02, 0.02, 0.0, 0.06, 0.0, 0.04, 0.09, 0.08, 0.1, 0.08, 0.06, 0.08, 0.06, 0.02]","[0.16667 0.2381  0.02381 0.09524 0.09524 0.04762 0.04762 0.      0.09524
 0.19048]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[1, 3, 3, 3, 0, 2, 0, 1, 1, 6, 0, 0, 4, 2, 4, 7, 1, 2, 0, 0, 0, 6, 0, 4, 0]","[0.02, 0.06, 0.06, 0.06, 0.0, 0.04, 0.0, 0.02, 0.02, 0.12, 0.0, 0.0, 0.08, 0.04, 0.08, 0.14, 0.02, 0.04, 0.0, 0.0, 0.0, 0.12, 0.0, 0.08, 0.0]","(1, 0, 0, 1, 1)","(1, 1, 0, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)"
"[(3, 4, 0, 2, 1), (1, 2, 0, 4, 3), (4, 0, 3, 2, 1), (2, 1, 0, 4, 3), (0, 4, 2, 3, 1), (2, 1, 0, 4, 3), (0, 2, 4, 3, 1), (0, 2, 4, 3, 1), (4, 0, 3, 2, 1), (4, 3, 0, 2, 1)]","(1, 0, 1, 0, 1)",0,"[0, 7, 7, 8, 6, 3, 0, 1, 3, 3, 3, 9, 0, 6, 5, 2, 7, 4, 0, 1, 4, 7, 5, 9, 0]","[0.0, 0.07, 0.07, 0.08, 0.06, 0.03, 0.0, 0.01, 0.03, 0.03, 0.03, 0.09, 0.0, 0.06, 0.05, 0.02, 0.07, 0.04, 0.0, 0.01, 0.04, 0.07, 0.05, 0.09, 0.0]","[7, 7, 8, 6, 3, 1, 3, 3, 3, 9, 6, 5, 2, 7, 4, 1, 4, 7, 5, 9]","[0.07, 0.07, 0.08, 0.06, 0.03, 0.01, 0.03, 0.03, 0.03, 0.09, 0.06, 0.05, 0.02, 0.07, 0.04, 0.01, 0.04, 0.07, 0.05, 0.09]","[0.14894 0.14894 0.17021 0.12766 0.02128 0.06383 0.06383 0.12766 0.10638
 0.02128]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]","[3, 2, 5, 0, 0, 1, 2, 0, 0, 7, 2, 3, 1, 4, 0, 1, 1, 2, 3, 3, 3, 2, 2, 3, 0]","[0.06, 0.04, 0.1, 0.0, 0.0, 0.02, 0.04, 0.0, 0.0, 0.14, 0.04, 0.06, 0.02, 0.08, 0.0, 0.02, 0.02, 0.04, 0.06, 0.06, 0.06, 0.04, 0.04, 0.06, 0.0]","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 1, 0, 1)"
"[(2, 3, 4, 1, 0), (3, 4, 2, 1, 0), (0, 1, 4, 3, 2), (3, 2, 4, 1, 0), (1, 0, 4, 3, 2), (4, 3, 2, 1, 0), (4, 1, 0, 3, 2), (2, 3, 4, 1, 0), (3, 4, 1, 2, 0), (1, 0, 4, 3, 2)]","(0, 1, 0, 1, 1)",0,"[0, 1, 4, 4, 3, 9, 0, 5, 4, 3, 6, 5, 0, 2, 3, 6, 6, 8, 0, 5, 7, 7, 7, 5, 0]","[0.0, 0.01, 0.04, 0.04, 0.03, 0.09, 0.0, 0.05, 0.04, 0.03, 0.06, 0.05, 0.0, 0.02, 0.03, 0.06, 0.06, 0.08, 0.0, 0.05, 0.07, 0.07, 0.07, 0.05, 0.0]","[1, 4, 4, 3, 9, 5, 4, 3, 6, 5, 2, 3, 6, 6, 8, 5, 7, 7, 7, 5]","[0.01, 0.04, 0.04, 0.03, 0.09, 0.05, 0.04, 0.03, 0.06, 0.05, 0.02, 0.03, 0.06, 0.06, 0.08, 0.05, 0.07, 0.07, 0.07, 0.05]","[0.02941 0.11765 0.11765 0.08824 0.14706 0.11765 0.08824 0.05882 0.08824
 0.14706]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 0, 6, 2, 2, 1, 5, 0, 2, 1, 2, 1, 4, 3, 3, 0, 4, 0, 2, 2, 6, 0, 0]","[0.02, 0.04, 0.02, 0.0, 0.12, 0.04, 0.04, 0.02, 0.1, 0.0, 0.04, 0.02, 0.04, 0.02, 0.08, 0.06, 0.06, 0.0, 0.08, 0.0, 0.04, 0.04, 0.12, 0.0, 0.0]","(0, 1, 0, 1, 1)","(0, 1, 1, 1, 0)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(0, 1, 0, 1, 1)"
"[(2, 4, 3, 1, 0), (4, 1, 2, 3, 0), (1, 4, 2, 3, 0), (4, 1, 2, 3, 0), (2, 3, 0, 4, 1), (0, 3, 2, 4, 1), (1, 4, 2, 3, 0), (2, 4, 1, 3, 0), (1, 4, 2, 3, 0), (0, 3, 2, 4, 1)]","(0, 1, 1, 0, 1)",0,"[0, 3, 2, 2, 3, 7, 0, 5, 6, 3, 8, 5, 0, 8, 5, 8, 4, 2, 0, 3, 7, 7, 5, 7, 0]","[0.0, 0.03, 0.02, 0.02, 0.03, 0.07, 0.0, 0.05, 0.06, 0.03, 0.08, 0.05, 0.0, 0.08, 0.05, 0.08, 0.04, 0.02, 0.0, 0.03, 0.07, 0.07, 0.05, 0.07, 0.0]","[3, 2, 2, 3, 7, 5, 6, 3, 8, 5, 8, 5, 8, 4, 2, 3, 7, 7, 5, 7]","[0.03, 0.02, 0.02, 0.03, 0.07, 0.05, 0.06, 0.03, 0.08, 0.05, 0.08, 0.05, 0.08, 0.04, 0.02, 0.03, 0.07, 0.07, 0.05, 0.07]",[0.075 0.05  0.05  0.075 0.125 0.15  0.075 0.2   0.125 0.075],"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[2, 0, 1, 0, 7, 3, 2, 1, 1, 3, 3, 0, 7, 0, 0, 0, 3, 1, 6, 0, 2, 5, 0, 3, 0]","[0.04, 0.0, 0.02, 0.0, 0.14, 0.06, 0.04, 0.02, 0.02, 0.06, 0.06, 0.0, 0.14, 0.0, 0.0, 0.0, 0.06, 0.02, 0.12, 0.0, 0.04, 0.1, 0.0, 0.06, 0.0]","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)"
"[(0, 2, 4, 1, 3), (2, 4, 0, 1, 3), (0, 1, 3, 2, 4), (4, 2, 0, 1, 3), (4, 2, 0, 1, 3), (2, 4, 0, 1, 3), (3, 1, 0, 2, 4), (3, 1, 0, 2, 4), (0, 2, 1, 4, 3), (4, 2, 0, 1, 3)]","(1, 0, 1, 0, 1)",0,"[0, 8, 5, 8, 5, 2, 0, 3, 8, 4, 5, 7, 0, 7, 7, 2, 2, 3, 0, 3, 5, 6, 3, 7, 0]","[0.0, 0.08, 0.05, 0.08, 0.05, 0.02, 0.0, 0.03, 0.08, 0.04, 0.05, 0.07, 0.0, 0.07, 0.07, 0.02, 0.02, 0.03, 0.0, 0.03, 0.05, 0.06, 0.03, 0.07, 0.0]","[8, 5, 8, 5, 2, 3, 8, 4, 5, 7, 7, 7, 2, 2, 3, 3, 5, 6, 3, 7]","[0.08, 0.05, 0.08, 0.05, 0.02, 0.03, 0.08, 0.04, 0.05, 0.07, 0.07, 0.07, 0.02, 0.02, 0.03, 0.03, 0.05, 0.06, 0.03, 0.07]","[0.13793 0.08621 0.13793 0.08621 0.05172 0.13793 0.06897 0.12069 0.12069
 0.05172]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 0]","[3, 0, 7, 0, 0, 0, 3, 1, 6, 0, 2, 5, 0, 3, 0, 2, 0, 1, 0, 7, 3, 2, 1, 1, 3]","[0.06, 0.0, 0.14, 0.0, 0.0, 0.0, 0.06, 0.02, 0.12, 0.0, 0.04, 0.1, 0.0, 0.06, 0.0, 0.04, 0.0, 0.02, 0.0, 0.14, 0.06, 0.04, 0.02, 0.02, 0.06]","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 0, 1, 1, 0)"
"[(1, 3, 2, 0, 4), (1, 3, 2, 0, 4), (3, 2, 1, 0, 4), (3, 1, 2, 0, 4), (4, 0, 2, 3, 1), (0, 4, 2, 3, 1), (2, 0, 3, 4, 1), (4, 0, 2, 3, 1), (4, 0, 2, 3, 1), (3, 1, 2, 0, 4)]","(1, 0, 0, 1, 1)",1,"[0, 5, 4, 5, 7, 5, 0, 4, 2, 5, 6, 6, 0, 5, 6, 5, 8, 5, 0, 6, 3, 5, 4, 4, 0]","[0.0, 0.05, 0.04, 0.05, 0.07, 0.05, 0.0, 0.04, 0.02, 0.05, 0.06, 0.06, 0.0, 0.05, 0.06, 0.05, 0.08, 0.05, 0.0, 0.06, 0.03, 0.05, 0.04, 0.04, 0.0]","[5, 4, 5, 7, 5, 4, 2, 5, 6, 6, 5, 6, 5, 8, 5, 6, 3, 5, 4, 4]","[0.05, 0.04, 0.05, 0.07, 0.05, 0.04, 0.02, 0.05, 0.06, 0.06, 0.05, 0.06, 0.05, 0.08, 0.05, 0.06, 0.03, 0.05, 0.04, 0.04]","[0.10204 0.08163 0.10204 0.14286 0.08163 0.04082 0.10204 0.10204 0.12245
 0.12245]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 1]","[1, 4, 0, 5, 0, 2, 2, 1, 0, 5, 1, 1, 8, 0, 0, 3, 2, 1, 4, 0, 3, 1, 0, 1, 5]","[0.02, 0.08, 0.0, 0.1, 0.0, 0.04, 0.04, 0.02, 0.0, 0.1, 0.02, 0.02, 0.16, 0.0, 0.0, 0.06, 0.04, 0.02, 0.08, 0.0, 0.06, 0.02, 0.0, 0.02, 0.1]","(1, 0, 1, 1, 0)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)"
"[(4, 2, 0, 3, 1), (1, 3, 0, 4, 2), (3, 0, 1, 4, 2), (0, 3, 1, 4, 2), (3, 1, 0, 4, 2), (4, 0, 3, 2, 1), (1, 3, 0, 4, 2), (0, 3, 1, 4, 2), (1, 3, 0, 4, 2), (3, 0, 4, 2, 1)]","(1, 1, 0, 1, 0)",0,"[0, 6, 9, 4, 8, 4, 0, 7, 3, 7, 1, 3, 0, 1, 0, 6, 7, 9, 0, 8, 2, 3, 10, 2, 0]","[0.0, 0.06, 0.09, 0.04, 0.08, 0.04, 0.0, 0.07, 0.03, 0.07, 0.01, 0.03, 0.0, 0.01, 0.0, 0.06, 0.07, 0.09, 0.0, 0.08, 0.02, 0.03, 0.1, 0.02, 0.0]","[6, 9, 4, 8, 4, 7, 3, 7, 1, 3, 1, 0, 6, 7, 9, 8, 2, 3, 10, 2]","[0.06, 0.09, 0.04, 0.08, 0.04, 0.07, 0.03, 0.07, 0.01, 0.03, 0.01, 0.0, 0.06, 0.07, 0.09, 0.08, 0.02, 0.03, 0.1, 0.02]","[0.11321 0.16981 0.07547 0.15094 0.13208 0.0566  0.13208 0.01887 0.
 0.15094]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[2, 3, 5, 0, 0, 3, 1, 3, 0, 3, 0, 1, 0, 2, 7, 3, 5, 1, 1, 0, 2, 0, 1, 7, 0]","[0.04, 0.06, 0.1, 0.0, 0.0, 0.06, 0.02, 0.06, 0.0, 0.06, 0.0, 0.02, 0.0, 0.04, 0.14, 0.06, 0.1, 0.02, 0.02, 0.0, 0.04, 0.0, 0.02, 0.14, 0.0]","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 1, 0, 1, 1)","(1, 1, 0, 1, 0)","(1, 0, 0, 1, 1)"
"[(3, 0, 1, 2, 4), (0, 3, 2, 1, 4), (0, 2, 4, 3, 1), (2, 0, 3, 1, 4), (4, 2, 0, 3, 1), (0, 2, 3, 1, 4), (2, 4, 0, 3, 1), (0, 2, 4, 3, 1), (3, 1, 0, 2, 4), (4, 2, 0, 3, 1)]","(1, 0, 1, 0, 1)",0,"[0, 9, 6, 8, 7, 1, 0, 2, 0, 5, 4, 8, 0, 7, 8, 2, 10, 3, 0, 5, 3, 5, 2, 5, 0]","[0.0, 0.09, 0.06, 0.08, 0.07, 0.01, 0.0, 0.02, 0.0, 0.05, 0.04, 0.08, 0.0, 0.07, 0.08, 0.02, 0.1, 0.03, 0.0, 0.05, 0.03, 0.05, 0.02, 0.05, 0.0]","[9, 6, 8, 7, 1, 2, 0, 5, 4, 8, 7, 8, 2, 10, 3, 5, 3, 5, 2, 5]","[0.09, 0.06, 0.08, 0.07, 0.01, 0.02, 0.0, 0.05, 0.04, 0.08, 0.07, 0.08, 0.02, 0.1, 0.03, 0.05, 0.03, 0.05, 0.02, 0.05]","[0.15789 0.10526 0.14035 0.12281 0.03509 0.      0.08772 0.12281 0.14035
 0.08772]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 1, 1, 0]","[4, 2, 4, 0, 0, 0, 1, 1, 3, 5, 2, 5, 1, 2, 0, 2, 1, 2, 5, 0, 2, 1, 2, 0, 5]","[0.08, 0.04, 0.08, 0.0, 0.0, 0.0, 0.02, 0.02, 0.06, 0.1, 0.04, 0.1, 0.02, 0.04, 0.0, 0.04, 0.02, 0.04, 0.1, 0.0, 0.04, 0.02, 0.04, 0.0, 0.1]","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 0, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 0, 0, 1, 1)"
